AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
-0.01,0.91,-0.20,8.49,6.61,4.19,38.09,Frente
-0.02,0.95,-0.19,-5.86,-9.48,3.90,38.06,Frente
0.01,0.95,-0.16,-1.36,13.04,1.56,38.06,Frente
0.00,0.94,-0.20,-10.06,-9.33,-6.34,38.06,Frente
0.02,0.92,-0.16,-14.39,-5.26,0.58,38.05,Frente
0.03,0.92,-0.19,5.64,-13.21,12.54,38.07,Frente
0.14,0.93,-0.12,-12.99,0.96,16.00,38.09,Frente
0.15,0.97,-0.12,-2.88,-7.94,16.00,38.07,Frente
0.28,0.98,-0.00,-16.00,15.89,16.00,38.03,Frente
0.31,0.88,0.05,7.65,-14.64,3.46,38.07,Frente
0.34,0.88,0.02,16.00,11.51,-4.44,38.04,Frente
0.43,0.87,0.02,-16.00,16.00,3.46,38.06,Frente
0.46,0.88,0.19,16.00,-13.14,9.56,38.09,Frente
0.47,0.83,0.14,-8.70,-5.15,12.88,38.06,Frente
0.48,0.81,0.08,-16.00,16.00,-1.24,38.08,Frente
0.39,0.51,-0.38,16.00,-10.61,0.05,38.08,Frente
0.41,0.79,0.07,14.82,11.25,-6.44,38.05,Frente
